iter	Passed	Remaining
0	303	302823
1	489	244280
2	567	188449
3	699	174240
4	832	165728
5	1003	166287
6	1119	158805
7	1186	147158
8	1251	137770
9	1401	138733
10	1578	141881
11	1716	141291
12	1802	136886
13	1947	137151
14	2039	133941
15	2180	134105
16	2311	133630
17	2436	132916
18	2604	134459
19	2697	132160
20	2785	129855
21	2874	127788
22	2971	126215
23	3073	124975
24	3186	124258
25	3264	122293
26	3345	120573
27	3427	118983
28	3505	117363
29	3661	118393
30	3792	118532
31	4052	122592
32	4123	120834
33	4187	118978
34	4267	117658
35	4356	116644
36	4431	115336
37	4556	115349
38	4683	115408
39	4775	114622
40	4901	114650
41	5104	116423
42	5306	118091
43	5434	118069
44	5539	117565
45	5625	116670
46	5754	116674
47	5936	117743
48	6038	117203
49	6217	118135
50	6381	118745
51	6500	118514
52	6635	118557
53	6775	118690
54	6986	120040
55	7062	119049
56	7153	118348
57	7253	117800
58	7414	118249
59	7513	117712
60	7760	119454
61	7940	120138
62	8073	120078
63	8166	119440
64	8307	119501
65	8395	118804
66	8525	118721
67	8690	119117
68	8890	119952
69	8993	119479
70	9201	120392
71	9337	120354
72	9460	120136
73	9550	119506
74	9676	119344
75	9869	119990
76	9967	119478
77	10055	118863
78	10216	119101
79	10387	119457
80	10476	118858
81	10620	118902
82	10701	118227
83	10774	117491
84	10909	117437
85	10995	116855
86	11175	117282
87	11275	116859
88	11507	117786
89	11598	117275
90	11714	117018
91	11874	117193
92	12058	117603
93	12213	117714
94	12397	118101
95	12546	118142
96	12616	117453
97	12796	117780
98	12920	117588
99	13006	117056
100	13145	117007
101	13380	117801
102	13560	118097
103	13627	117404
104	13789	117539
105	14026	118296
106	14186	118398
107	14326	118327
108	14456	118169
109	14617	118269
110	14770	118300
111	14888	118047
112	15030	117982
113	15226	118335
114	15385	118400
115	15631	119121
116	15765	118979
117	16003	119621
118	16192	119877
119	16354	119931
120	16571	120382
121	16760	120617
122	16886	120405
123	17076	120637
124	17223	120565
125	17330	120211
126	17523	120455
127	17598	119888
128	17724	119676
129	17930	119994
130	18168	120520
131	18325	120502
132	18482	120480
133	18664	120621
134	18819	120585
135	18921	120209
136	19098	120306
137	19264	120332
138	19394	120136
139	19535	120001
140	19657	119757
141	19764	119423
142	19861	119027
143	20006	118928
144	20189	119049
145	20340	118980
146	20467	118767
147	20578	118468
148	20712	118297
149	20903	118453
150	21124	118771
151	21352	119121
152	21497	119008
153	21623	118786
154	21778	118728
155	21950	118757
156	22102	118678
157	22278	118723
158	22448	118738
159	22544	118360
160	22722	118411
161	22890	118408
162	23032	118271
163	23220	118370
164	23352	118179
165	23529	118212
166	23687	118153
167	23820	117969
168	23966	117845
169	24134	117831
170	24240	117517
171	24328	117114
172	24481	117029
173	24567	116623
174	24697	116430
175	24755	115902
176	24854	115568
177	24988	115395
178	25126	115246
179	25278	115156
180	25432	115077
181	25658	115320
182	25800	115186
183	25976	115201
184	26101	114987
185	26268	114961
186	26423	114880
187	26569	114757
188	26679	114481
189	26795	114234
190	26919	114019
191	27049	113835
192	27253	113957
193	27359	113667
194	27455	113340
195	27557	113041
196	27708	112945
197	27904	113026
198	28072	112996
199	28310	113242
200	28527	113401
201	28756	113601
202	28926	113567
203	29078	113462
204	29180	113165
205	29430	113437
206	29641	113553
207	29742	113249
208	29895	113146
209	30089	113193
210	30235	113059
211	30498	113363
212	30732	113551
213	30894	113470
214	31106	113576
215	31285	113555
216	31457	113507
217	31580	113285
218	31726	113144
219	31828	112845
220	32008	112826
221	32222	112925
222	32328	112640
223	32485	112537
224	32618	112354
225	32873	112585
226	33021	112447
227	33205	112432
228	33351	112288
229	33665	112705
230	33751	112359
231	33871	112125
232	34018	111985
233	34118	111688
234	34326	111744
235	34520	111752
236	34643	111530
237	34837	111537
238	35057	111626
239	35205	111484
240	35324	111250
241	35587	111469
242	35700	111215
243	35880	111172
244	36000	110939
245	36102	110655
246	36244	110495
247	36366	110272
248	36552	110243
249	36667	110003
250	36839	109931
251	37094	110106
252	37270	110042
253	37511	110171
254	37722	110209
255	37915	110192
256	38112	110184
257	38279	110089
258	38404	109876
259	38538	109686
260	38649	109431
261	38764	109191
262	38905	109024
263	39125	109076
264	39243	108843
265	39364	108621
266	39493	108423
267	39671	108355
268	39882	108378
269	40039	108255
270	40173	108067
271	40322	107923
272	40500	107852
273	40664	107745
274	40818	107612
275	41001	107554
276	41221	107592
277	41498	107776
278	41697	107756
279	41845	107602
280	42003	107475
281	42186	107411
282	42370	107347
283	42570	107324
284	42773	107308
285	42858	106996
286	42989	106799
287	43169	106725
288	43292	106509
289	43497	106494
290	43744	106581
291	43846	106313
292	43963	106083
293	44098	105897
294	44304	105880
295	44561	105985
296	44769	105969
297	44892	105752
298	45149	105851
299	45313	105730
300	45463	105577
301	45765	105775
302	46000	105816
303	46134	105623
304	46270	105435
305	46476	105408
306	46634	105270
307	46821	105195
308	46933	104954
309	47108	104854
310	47216	104604
311	47415	104557
312	47598	104472
313	47852	104543
314	48056	104503
315	48170	104267
316	48309	104086
317	48446	103900
318	48581	103712
319	48830	103764
320	48971	103586
321	49137	103463
322	49323	103381
323	49499	103275
324	49781	103391
325	49964	103301
326	50098	103107
327	50232	102915
328	50405	102801
329	50539	102609
330	50804	102683
331	50897	102409
332	50984	102121
333	51095	101885
334	51239	101713
335	51425	101627
336	51617	101549
337	51869	101590
338	52019	101429
339	52213	101356
340	52375	101218
341	52540	101087
342	52726	100994
343	52971	101016
344	53156	100921
345	53309	100764
346	53526	100727
347	53647	100511
348	53903	100547
349	54098	100468
350	54230	100273
351	54382	100112
352	54587	100050
353	54827	100051
354	55050	100020
355	55181	99821
356	55390	99765
357	55625	99752
358	55794	99622
359	56058	99659
360	56222	99517
361	56396	99395
362	56579	99287
363	56769	99191
364	56986	99140
365	57210	99102
366	57360	98935
367	57506	98760
368	57703	98674
369	57930	98639
370	58128	98552
